GEOmeID,NAME,MedianIncome
0500000US42001,"Adams County, Pennsylvania",76725
0500000US42003,"Allegheny County, Pennsylvania",76615
0500000US42005,"Armstrong County, Pennsylvania",61836
0500000US42007,"Beaver County, Pennsylvania",66768
0500000US42011,"Berks County, Pennsylvania",75675
0500000US42013,"Blair County, Pennsylvania",54002
0500000US42017,"Bucks County, Pennsylvania",107221
0500000US42019,"Butler County, Pennsylvania",80379
0500000US42021,"Cambria County, Pennsylvania",55748
0500000US42025,"Carbon County, Pennsylvania",64229
0500000US42027,"Centre County, Pennsylvania",69101
0500000US42029,"Chester County, Pennsylvania",120903
0500000US42033,"Clearfield County, Pennsylvania",60711
